,titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,published_year,first_published,series,genres,awards,places,url
0,['Harry Potter and the Deathly Hallows'],['J.K. Rowling'],[71379],[3106836],[4.61],[759],[2007],[None],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', '', '', '']]","[['London, England', 'Hogwarts School of Witchcraft and Wizardry', 'Pagford']]",['https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows']
1,['And Then There Were None'],['Agatha Christie'],[41873],[988956],[4.26],[264],[2004],[1939],[0],"[['Mystery', 'Classics', 'Fiction']]",[None],"[['', '', '', '']]",['https://www.goodreads.com/book/show/16299.And_Then_There_Were_None']
2,"[""My Sister's Keeper""]",['Jodi Picoult'],[34414],[1112983],[4.08],[423],[2005],[2004],[0],"[['Fiction', 'Contemporary', 'Womens Fiction > Chick Lit']]","[['Audie Award for Multi-Voiced Performance (2005)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2007)"", 'ALA Alex Award (2005)', 'Lincoln Award (2006)', 'Green Mountain Book Award (2007)', '']]","[['United States of America', 'Providence, Rhode Island', 'Rhode Island']]",['https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper']
3,['Harry Potter and the Half-Blood Prince'],['J.K. Rowling'],[44668],[2710242],[4.57],[652],[2006],[2005],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']]","[['Hogwarts School of Witchcraft and Wizardry', 'England']]",['https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince']
4,['The Da Vinci Code'],['Dan Brown'],[49490],[2089596],[3.88],[489],[2006],[2003],[1],"[['Fiction', 'Mystery', 'Thriller']]","[['British Book Award for Book of the Year (2005)', 'Book Sense Book of the Year Award for Adult Fiction (2004)', ""Humo's Gouden Bladwijzer (2004)"", 'Zilveren Vingerafdruk (2004)', ""The Flume: New Hampshire Teen Reader's Choice Award (2006)"", '', '', '', '']]","[['Paris', 'London, England', 'France', '', '']]",['https://www.goodreads.com/book/show/968.The_Da_Vinci_Code']
5,['Gone Girl'],['Gillian Flynn'],[137307],[2574175],[4.09],[415],[2014],[2012],[0],"[['Fiction', 'Mystery', 'Thriller']]","[['Barry Award Nominee for Best Novel (2013)', 'Anthony Award Nominee for Best Novel (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012)"", 'Shirley Jackson Award Nominee for Novel (Finalist) (2012)', 'Edgar Award Nominee for Best Novel (2013)', '', '', '', '']]","[['North Carthage, Missouri', 'Missouri']]",['https://www.goodreads.com/book/show/19288043-gone-girl']
6,['Fight Club'],['Chuck Palahniuk'],[16054],[536757],[4.18],[224],[2018],[1996],[1],"[['Fiction', 'Classics', 'Contemporary']]",[['Oregon Book Award for Fiction (1997)']],[['United States of America']],['https://www.goodreads.com/book/show/36236124-fight-club']
7,['Harry Potter and the Prisoner of Azkaban'],['J.K. Rowling'],[63368],[3216562],[4.57],[435],[2004],[1999],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", '', '', '', '', '', '', '', '']]","[['Hogwarts School of Witchcraft and Wizardry', 'London, England']]",['https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban']
8,['The Hunger Games'],['Suzanne Collins'],[179974],[7028705],[4.32],[374],[2008],[2008],[1],"[['Young Adult', 'Fiction', 'Science Fiction > Dystopia']]","[['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']]","[['District 12, Panem', 'Capitol, Panem', 'Panem']]",['https://www.goodreads.com/book/show/2767052-the-hunger-games']
9,['Murder on the Orient Express'],['Agatha Christie'],[28230],[456897],[4.18],[274],[2007],[1934],[1],"[['Mystery', 'Classics', 'Fiction']]",[['CWA Best Ever Nominee for Crime Novel (2013)']],[None],['https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express']
10,['Angels & Demons'],['Dan Brown'],[30676],[2875993],[3.92],[736],[2006],[2000],[1],"[['Fiction', 'Mystery', 'Thriller']]","[[""Humo's Gouden Bladwijzer (2005)""]]","[['Rome', 'Vatican City', 'Italy']]",['https://www.goodreads.com/book/show/960.Angels_Demons']
11,['Shutter Island'],['Dennis Lehane'],[8925],[188088],[4.07],[369],[2004],[2003],[0],"[['Mystery', 'Fiction', 'Thriller']]","[['Barry Award Nominee for Best Novel (2004)', 'Anthony Award Nominee for Best Novel (2004)', 'Hammett Prize Nominee (2003)', 'Grand Prix des lectrices de Elle for roman policier (2004)']]","[['Massachusetts', 'Shutter Island, Massachusetts']]",['https://www.goodreads.com/book/show/21686.Shutter_Island']
12,['The Murder of Roger Ackroyd'],['Agatha Christie'],[13745],[191398],[4.24],[288],[2006],[1926],[1],"[['Mystery', 'Fiction', 'Classics']]","[['Anthony Award Nominee for Best Novel of the Century (2000)', 'CWA Best Ever for Crime Novel (2013)']]","[[""King's Abbot, England""]]",['https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd']
13,"[""Ender's Game""]",['Orson Scott Card'],[45001],[1226248],[4.3],[324],[2004],[1985],[1],"[['Science Fiction', 'Young Adult', 'Fantasy']]","[['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Premi Ictineu for Millor novel·la traduïda (2014)', 'Margaret A. Edwards Award (2008)']]",[None],['https://www.goodreads.com/book/show/375802.Ender_s_Game']
14,['Catching Fire'],['Suzanne Collins'],[101085],[2827156],[4.3],[391],[2009],[None],[1],"[['Young Adult', 'Science Fiction > Dystopia', 'Fiction']]","[['Locus Award Nominee for Best Young Adult Book (2010)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2010)', 'Soaring Eagle Book Award (2011)', ""Children's Choice Book Award for Teen Choice Book of the Year (2010)"", 'Indies Choice Book Award for Young Adult (2010)', '', '', '', '']]","[['District 12, Panem', 'Capitol, Panem', 'Panem']]",['https://www.goodreads.com/book/show/6148028-catching-fire']
15,['Harry Potter and the Goblet of Fire'],['J.K. Rowling'],[52841],[2902234],[4.56],[734],[2002],[2000],[1],"[['Fantasy', 'Young Adult', 'Fiction']]","[['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", '', '', '', '']]","[['Hogwarts School of Witchcraft and Wizardry', 'Scotland', 'United Kingdom']]",['https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire']
16,['The Girl with the Dragon Tattoo'],['Stieg Larsson'],[71197],[2829369],[4.15],[480],[2008],[2005],[1],"[['Fiction', 'Mystery', 'Thriller']]","[['Barry Award for Mystery/Crime Novel Of The Decade (2010)', 'Macavity Award for Best First Mystery Novel (2009)', 'Anthony Award for Best First Novel (2009)', 'Glass Key Award (2006)', 'CWA International Dagger Nominee (2008)', '', '', '']]","[['Stockholm', 'Hedeby Island', 'Hedestad, Stockholm', '']]",['https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo']
