iter	RMSE
0	11635.82216
1	11309.13552
2	10997.74102
3	10702.27238
4	10396.36678
5	10108.58836
6	9845.897918
7	9591.416254
8	9342.759086
9	9131.313851
10	8916.565536
11	8700.538602
12	8514.250075
13	8317.395506
14	8137.34984
15	7960.328701
16	7775.223069
17	7610.499817
18	7439.812026
19	7290.991744
20	7142.605279
21	7002.911821
22	6901.778662
23	6783.602046
24	6662.120424
25	6543.39251
26	6433.96492
27	6329.737572
28	6229.445456
29	6131.272331
30	6042.163314
31	5961.159514
32	5879.420562
33	5801.177179
34	5739.526537
35	5670.883515
36	5613.129971
37	5549.496035
38	5493.414426
39	5436.030037
40	5380.432259
41	5332.272134
42	5286.19757
43	5238.695215
44	5191.63656
45	5146.767151
46	5104.832405
47	5065.811066
48	5036.783224
49	5008.12633
50	4974.915881
51	4943.419272
52	4918.421238
53	4893.141178
54	4867.208845
55	4840.693347
56	4817.009126
57	4792.021744
58	4775.042083
59	4753.394688
60	4728.845595
61	4709.153216
62	4694.533297
63	4678.688557
64	4666.817855
65	4652.921044
66	4638.786748
67	4624.679537
68	4615.110019
69	4605.404004
70	4588.271694
71	4572.306125
72	4559.53604
73	4552.92382
74	4538.421147
75	4526.849641
76	4516.154049
77	4509.632543
78	4499.171012
79	4490.592876
80	4479.167755
81	4468.532436
82	4460.225175
83	4451.187606
84	4445.106884
85	4439.074591
86	4431.859084
87	4425.659253
88	4416.380157
89	4411.439474
90	4403.514458
91	4397.087312
92	4390.185235
93	4384.030252
94	4376.317098
95	4369.067106
96	4363.839354
97	4358.372897
98	4352.655437
99	4348.165164
100	4343.662899
101	4338.229287
102	4332.413122
103	4328.628398
104	4324.370349
105	4318.196532
106	4313.010749
107	4308.993099
108	4306.230613
109	4302.651095
110	4299.556194
111	4296.12298
112	4291.831902
113	4288.736167
114	4286.766453
115	4283.576889
116	4277.63201
117	4274.914844
118	4272.524961
119	4268.732056
120	4266.491306
121	4264.788037
122	4260.056499
123	4256.326916
124	4252.818209
125	4248.454899
126	4245.690445
127	4240.213078
128	4235.680812
129	4230.678006
130	4226.292635
131	4223.663261
132	4221.303177
133	4217.222756
134	4215.373999
135	4209.803549
136	4205.087236
137	4198.638483
138	4195.104871
139	4190.540202
140	4188.885519
141	4187.188438
142	4184.108228
143	4183.421821
144	4179.613105
145	4176.941082
146	4173.392179
147	4171.538264
148	4169.156568
149	4164.343288
150	4162.699924
151	4160.288952
152	4157.20534
153	4155.090629
154	4152.394614
155	4149.766874
156	4148.489089
157	4146.994099
158	4145.415359
159	4143.15685
160	4141.825179
161	4139.078233
162	4137.64107
163	4135.12015
164	4132.333533
165	4130.012036
166	4128.579973
167	4126.547663
168	4123.06631
169	4120.123324
170	4116.429231
171	4114.508683
172	4112.612179
173	4111.366976
174	4109.404144
175	4104.429471
176	4101.588229
177	4097.671743
178	4094.206296
179	4090.284333
180	4087.130541
181	4085.235356
182	4081.126999
183	4079.855365
184	4078.207915
185	4076.554447
186	4075.398767
187	4074.250282
188	4072.228082
189	4066.711767
190	4065.224904
191	4059.01121
192	4056.550016
193	4055.509375
194	4052.959316
195	4051.353393
196	4050.777163
197	4046.729421
198	4043.538371
199	4040.737723
200	4038.642625
201	4036.798484
202	4035.825427
203	4032.537412
204	4030.069596
205	4026.909791
206	4023.870198
207	4017.978049
208	4016.283967
209	4014.473035
210	4010.698692
211	4006.390778
212	4003.659752
213	4001.845165
214	4001.361675
215	4000.203521
216	3999.15686
217	3997.272298
218	3994.688319
219	3993.044013
220	3991.768252
221	3991.530537
222	3986.371192
223	3984.808966
224	3983.629945
225	3982.808863
226	3980.214569
227	3978.661702
228	3975.495667
229	3974.190198
230	3972.945179
231	3972.240162
232	3971.293486
233	3969.604971
234	3968.674532
235	3967.648055
236	3965.815523
237	3964.739913
238	3961.862206
239	3960.412015
240	3959.426625
241	3958.297904
242	3957.294653
243	3955.912248
244	3952.662306
245	3950.435155
246	3949.022105
247	3944.337802
248	3942.490053
249	3941.995188
250	3938.512375
