iter	Passed	Remaining
0	60	60703
1	61	30690
2	61	20580
3	62	15583
4	63	12565
5	63	10549
6	64	9120
7	64	8034
8	65	7192
9	65	6524
10	66	5949
11	66	5495
12	67	5120
13	67	4766
14	68	4496
15	69	4259
16	69	4039
17	70	3841
18	70	3662
19	71	3507
20	72	3366
21	72	3232
22	72	3098
23	73	2988
24	74	2887
25	74	2791
26	75	2703
27	75	2623
28	76	2551
29	76	2479
30	77	2409
31	77	2350
32	78	2291
33	78	2236
34	79	2188
35	80	2146
36	80	2101
37	81	2058
38	81	2016
39	82	1972
40	82	1931
41	83	1898
42	83	1866
43	84	1835
44	84	1802
45	85	1772
46	86	1746
47	86	1718
48	86	1685
49	87	1660
50	87	1637
51	88	1616
52	89	1592
53	89	1567
54	89	1544
55	91	1535
56	91	1514
57	91	1493
58	92	1471
59	92	1454
60	93	1440
61	94	1424
62	94	1407
63	95	1392
64	95	1378
65	96	1364
66	97	1352
67	97	1339
68	98	1326
69	98	1311
70	99	1298
71	99	1286
72	100	1274
73	100	1260
74	101	1247
75	101	1237
76	102	1227
77	102	1214
78	103	1204
79	103	1195
80	104	1183
81	104	1172
82	105	1161
83	105	1154
84	106	1143
85	106	1134
86	107	1125
87	108	1119
88	108	1111
89	109	1102
90	109	1094
91	110	1086
92	110	1078
93	111	1071
94	111	1064
95	112	1056
96	112	1049
97	113	1042
98	113	1036
99	114	1029
100	114	1023
101	115	1016
102	116	1010
103	116	1004
104	117	998
105	117	992
106	118	987
107	118	981
108	119	975
109	119	969
110	120	964
111	120	958
112	121	952
113	121	947
114	122	942
115	124	945
116	125	945
117	126	942
118	126	938
119	127	933
120	127	929
121	128	924
122	129	920
123	129	916
124	130	912
125	130	907
126	131	903
127	132	899
128	132	895
129	133	892
130	133	887
131	134	882
132	134	877
133	137	888
134	137	884
135	138	879
136	138	875
137	139	870
138	139	866
139	140	862
140	140	858
141	141	856
142	142	854
143	142	849
144	143	845
145	143	841
146	144	838
147	145	834
148	145	832
149	146	828
150	146	825
151	147	822
152	147	818
153	148	814
154	148	810
155	149	806
156	149	803
157	152	813
158	153	809
159	153	806
160	154	802
161	154	798
162	156	801
163	156	797
164	156	793
165	157	790
166	157	786
167	158	783
168	158	779
169	158	776
170	159	772
171	159	769
172	161	770
173	161	767
174	162	763
175	162	760
176	162	757
177	163	754
