iter	Logloss
0	0.6873191166
1	0.6822499442
2	0.6767623546
3	0.6705960319
4	0.6649380569
5	0.6595955859
6	0.6549679622
7	0.649731589
8	0.6440011224
9	0.638458633
10	0.6336376633
11	0.6282939671
12	0.6229625189
13	0.6184088009
14	0.6135985703
15	0.6100157456
16	0.605135918
17	0.6019862697
18	0.5978226986
19	0.5947902092
20	0.5906305912
21	0.5867493414
22	0.5831511811
23	0.5792435388
24	0.5757099678
25	0.5720990933
26	0.5691641937
27	0.5654962114
28	0.562399145
29	0.5593023628
30	0.5560483092
31	0.5528046653
32	0.549112383
33	0.5458100656
34	0.5425919725
35	0.539958594
36	0.5374884912
37	0.5346300269
38	0.5319236973
39	0.5290141582
40	0.5258780884
41	0.5236601888
42	0.5212553047
43	0.5187587071
44	0.516007052
45	0.5131533711
46	0.5106365678
47	0.5080836224
48	0.5054960094
49	0.5035097339
50	0.5008601174
51	0.4989792203
52	0.4972150259
53	0.4954853153
54	0.4929841176
55	0.4910539315
56	0.4890847834
57	0.4869948032
58	0.4851324755
59	0.4836927274
60	0.4816547578
61	0.4798278523
62	0.4783130176
63	0.4765217985
64	0.4752189078
65	0.4734501641
66	0.4719681863
67	0.4705149476
68	0.4687440556
69	0.4675122971
70	0.465755306
71	0.464364375
72	0.4635419528
73	0.4620380956
74	0.4604078467
75	0.4591120822
76	0.4576138915
77	0.45612887
78	0.4546984723
79	0.4532768552
80	0.4520773985
81	0.4508601064
82	0.4497488846
83	0.4484682005
84	0.4472964081
85	0.4465928021
86	0.4457770846
87	0.4448156318
88	0.4436055833
89	0.4427018747
90	0.4417040721
91	0.4403620979
92	0.4391795495
93	0.4379997699
94	0.4371120149
95	0.4360878702
96	0.4354525724
97	0.4346717695
98	0.4335548674
99	0.432641477
100	0.4319051787
101	0.4309344779
102	0.4299066068
103	0.4288258325
104	0.427896175
105	0.4269506105
106	0.426073089
107	0.4251116555
108	0.4244263281
109	0.4237681735
110	0.422968432
111	0.4225028895
112	0.421643023
113	0.420901089
114	0.4201727253
115	0.4193332101
116	0.4184653185
117	0.4179524864
118	0.4171418738
119	0.4166009425
120	0.4159740619
121	0.4151607191
122	0.4145691048
123	0.413935462
124	0.4132596127
125	0.4126342798
126	0.4119006561
127	0.4113930503
128	0.4109023661
129	0.4101292695
130	0.4095176401
131	0.4091592625
132	0.4084444138
133	0.4079345842
134	0.4074031043
135	0.4070073579
136	0.4063157647
137	0.4056389623
138	0.4051661741
139	0.404657053
140	0.4040032284
141	0.4033569124
142	0.4030718476
143	0.402555836
144	0.4020916488
145	0.4017062032
146	0.4013318212
147	0.4011520785
148	0.4005982737
149	0.4000595087
150	0.3994712142
