iter	Passed	Remaining
0	0	794
1	1	752
2	2	722
3	2	697
4	4	796
5	4	771
6	5	722
7	5	719
8	6	700
9	6	685
10	7	686
11	8	708
12	9	712
13	10	717
14	10	717
15	11	697
16	12	716
17	13	711
18	14	732
19	14	732
20	15	733
21	16	736
22	17	739
23	18	748
24	19	747
25	20	752
26	20	753
27	21	753
28	22	746
29	23	750
30	24	757
31	25	762
32	26	769
33	27	773
34	28	774
35	28	774
36	29	767
37	30	766
38	31	767
39	32	768
40	32	767
41	34	787
42	35	791
43	36	790
44	37	789
45	38	788
46	38	789
47	39	790
48	40	791
49	41	793
50	42	790
51	44	803
52	45	805
53	45	802
54	46	801
55	47	800
56	48	798
57	49	796
58	49	794
59	50	790
60	51	794
61	52	791
62	53	790
63	54	791
64	54	787
65	55	787
66	56	784
67	57	781
68	57	780
69	58	779
70	59	780
71	60	779
72	61	776
73	61	775
74	62	774
75	63	773
76	64	771
77	65	771
78	66	771
79	67	772
80	68	772
81	68	771
82	69	771
83	70	771
84	71	770
85	72	768
86	73	768
87	74	767
88	75	767
89	75	765
90	76	764
91	77	763
92	78	764
93	79	763
94	79	762
95	80	761
96	81	760
97	82	761
98	83	761
99	84	760
100	85	759
101	86	758
102	86	757
103	87	756
104	88	755
105	89	752
106	90	751
107	90	749
108	91	748
109	92	748
110	93	748
111	94	746
112	94	744
113	95	744
114	96	743
115	97	743
116	98	742
117	99	742
118	100	741
119	100	740
120	101	738
121	102	737
122	103	735
123	104	734
124	105	739
125	106	737
126	107	736
127	108	736
128	108	735
129	109	735
130	110	733
131	111	731
132	111	729
133	112	729
134	113	728
135	114	728
136	115	727
137	116	726
138	117	725
139	118	725
140	119	725
141	119	723
142	120	723
143	121	722
144	122	721
145	123	721
146	124	720
147	124	717
148	125	716
149	126	714
150	126	713
151	127	713
152	128	712
153	129	711
154	130	711
155	131	710
156	132	709
157	133	708
158	133	708
159	134	707
160	135	706
161	136	704
162	137	704
163	137	702
164	138	700
165	139	699
166	140	699
167	141	699
168	141	697
169	142	697
170	143	696
171	144	695
172	145	694
173	146	693
174	146	692
175	147	690
176	148	688
177	148	687
178	149	687
179	150	687
180	151	685
181	152	685
182	153	683
183	154	683
184	155	682
185	156	683
186	157	683
187	157	682
188	158	681
189	159	679
190	160	678
191	161	678
192	162	677
193	162	676
194	163	675
195	164	674
196	165	673
197	166	673
198	167	672
199	167	671
200	168	671
201	169	670
202	170	669
203	171	668
204	172	667
205	172	666
206	173	665
207	174	665
208	175	664
209	176	662
210	177	662
211	177	661
212	178	659
213	179	659
214	180	657
215	181	656
216	181	655
217	182	654
218	183	654
219	184	653
220	184	651
221	185	651
222	186	650
223	187	648
224	187	646
225	188	645
226	189	645
227	190	644
228	191	643
229	192	643
230	192	642
231	193	640
232	194	639
233	194	638
234	195	637
235	196	637
236	197	636
237	198	635
238	199	634
239	200	634
240	200	632
241	201	631
242	202	631
243	203	630
244	204	629
245	204	628
246	205	626
247	206	625
248	207	624
249	207	623
250	208	623
251	209	622
252	210	622
253	211	621
254	212	620
255	213	619
256	214	618
257	214	618
258	215	617
259	216	616
260	217	615
261	218	615
262	218	613
263	220	614
264	221	613
265	222	613
266	223	612
267	224	612
268	224	611
269	225	609
270	226	608
271	227	608
272	228	607
273	229	606
274	229	606
275	230	605
276	231	604
277	232	603
278	233	603
279	234	602
280	234	600
281	235	600
282	236	599
283	237	599
284	238	598
285	239	597
286	240	596
287	240	595
288	241	594
289	242	593
290	243	593
291	244	592
292	245	592
293	246	591
294	247	591
295	248	590
296	249	589
297	250	589
298	250	588
299	251	587
300	252	586
301	253	586
302	254	585
303	255	584
304	256	583
305	256	582
306	257	581
307	258	580
308	258	579
309	259	578
310	260	577
311	261	576
312	262	575
313	263	575
314	264	574
315	265	574
316	265	572
317	267	573
318	268	572
319	268	571
320	269	570
321	270	570
322	271	569
323	272	568
324	274	569
325	274	568
326	275	567
327	276	566
328	277	565
329	278	564
330	278	563
331	279	562
332	280	561
333	281	560
334	282	560
335	283	559
336	284	558
337	284	558
338	285	557
339	286	556
340	287	556
341	288	555
342	289	554
343	290	554
344	291	553
345	292	552
346	293	551
347	293	550
348	294	549
349	295	548
350	296	547
351	296	546
352	297	545
353	298	544
354	299	544
355	300	542
356	300	541
357	301	541
358	302	540
359	303	539
360	304	538
361	305	537
362	306	537
363	307	536
364	307	535
365	308	534
366	310	535
367	311	534
368	312	533
369	312	532
370	313	531
371	314	530
372	315	529
373	315	528
374	316	527
375	317	526
376	318	526
377	319	525
378	320	524
379	321	523
380	321	522
381	322	521
382	323	521
383	324	520
384	325	519
385	325	518
386	326	517
387	327	516
388	328	515
389	328	514
390	329	513
391	330	512
392	331	511
393	331	510
394	332	509
395	333	509
396	334	508
397	335	507
398	336	506
399	337	505
400	338	505
401	338	504
402	339	503
403	340	502
404	341	501
405	342	500
406	343	500
407	344	499
408	345	498
409	345	497
410	346	496
411	347	495
412	347	494
413	348	493
414	349	492
415	350	492
416	351	491
417	352	490
418	353	490
419	354	489
420	355	488
421	356	487
422	356	486
423	357	485
424	358	484
425	359	484
426	360	483
427	361	483
428	362	482
429	363	481
430	364	480
431	364	479
432	365	478
433	366	478
434	367	477
435	368	476
436	369	476
437	370	475
438	371	474
439	372	473
440	373	473
441	374	472
442	375	472
443	376	471
444	377	470
445	378	469
446	379	468
447	379	468
448	380	467
449	381	466
450	382	465
451	383	464
452	384	463
453	384	462
454	385	462
455	386	461
456	387	460
457	388	459
458	389	458
459	390	457
460	390	456
461	391	456
462	392	455
463	393	454
464	394	453
465	395	453
466	396	452
467	396	451
468	397	450
469	398	449
470	399	448
471	400	448
472	401	447
473	402	446
474	403	445
475	404	445
476	405	444
477	405	443
478	406	442
479	407	441
480	408	440
481	409	440
482	410	439
483	411	438
484	412	437
485	413	436
486	414	436
487	415	435
488	415	434
489	416	433
490	417	433
491	418	432
492	419	431
493	420	430
494	421	429
495	421	428
496	422	427
497	423	427
498	424	426
499	425	425
500	426	424
501	427	423
502	428	423
503	428	422
504	429	421
505	430	420
506	431	419
507	432	418
508	433	417
509	434	416
510	434	416
511	435	415
512	436	414
513	437	413
514	438	412
515	439	412
516	440	411
517	441	410
518	442	410
519	443	409
520	444	408
521	444	407
522	445	406
523	446	405
524	447	405
525	449	404
526	450	404
527	451	403
528	451	402
529	452	401
530	453	400
531	454	399
532	455	398
533	455	397
534	456	397
535	457	396
536	458	395
537	459	394
538	459	393
539	460	392
540	461	391
541	461	390
542	462	389
543	463	388
544	463	387
545	464	386
546	465	385
547	465	384
548	466	383
549	467	382
550	468	381
551	468	380
552	469	379
553	470	378
554	471	377
555	472	376
556	472	375
557	473	375
558	474	374
559	475	373
560	475	372
561	477	371
562	477	370
563	478	369
564	479	369
565	480	368
566	481	367
567	481	366
568	482	365
569	483	365
570	484	363
571	485	363
572	486	362
573	487	361
574	487	360
575	488	359
576	489	358
577	490	358
578	491	357
579	492	356
580	493	355
581	493	354
582	494	353
583	495	352
584	496	352
585	497	351
586	498	350
587	499	349
588	500	348
589	501	348
590	502	347
591	503	347
592	504	346
593	505	345
594	506	344
595	507	343
596	507	342
597	508	341
598	509	341
599	510	340
600	511	339
601	512	338
602	513	337
603	514	337
604	515	336
605	515	335
606	516	334
607	517	333
608	518	332
609	519	332
610	520	331
611	520	330
612	521	329
613	522	328
614	523	327
615	524	326
616	525	326
617	526	325
618	526	324
619	527	323
620	528	322
621	529	321
622	530	320
623	530	319
624	531	318
625	532	318
626	533	317
627	534	316
628	534	315
629	535	314
630	536	313
631	537	312
632	538	312
633	539	311
634	540	310
635	541	309
636	542	309
637	543	308
638	545	308
639	546	307
640	546	306
641	547	305
642	548	304
643	549	303
644	549	302
645	550	301
646	551	300
647	552	300
648	553	299
649	554	298
650	554	297
651	555	296
652	556	295
653	557	295
654	558	294
655	559	293
656	560	292
657	561	291
658	561	290
659	562	289
660	563	289
661	564	288
662	565	287
663	566	286
664	566	285
665	567	284
666	568	283
667	569	283
668	570	282
669	571	281
670	572	280
671	573	280
672	574	279
673	575	278
674	576	277
675	577	276
676	578	275
677	578	274
678	579	274
679	580	273
680	581	272
681	582	271
682	583	270
683	584	269
684	584	268
685	585	268
686	586	267
687	587	266
688	588	265
689	589	264
690	590	263
691	590	262
692	591	262
693	592	261
694	593	260
695	594	259
696	595	258
697	596	257
698	596	257
699	597	256
700	598	255
701	599	254
702	600	253
703	601	252
704	602	251
705	602	251
706	603	250
707	604	249
708	605	248
709	606	247
710	607	246
711	608	245
712	609	245
713	610	244
714	611	243
715	611	242
716	613	241
717	613	241
718	614	240
719	615	239
720	616	238
721	617	237
722	617	236
723	618	235
724	619	234
725	620	234
726	621	233
727	622	232
728	622	231
729	623	230
730	624	229
731	625	229
732	626	228
733	627	227
734	628	226
735	629	225
736	630	224
737	631	224
738	632	223
739	632	222
740	633	221
741	634	220
742	635	219
743	636	218
744	637	218
745	637	217
746	638	216
747	639	215
748	640	214
749	641	213
750	642	212
751	643	212
752	643	211
753	644	210
754	645	209
755	646	208
756	646	207
757	647	206
758	648	206
759	649	205
760	650	204
761	651	203
762	652	202
763	653	201
764	654	200
765	654	200
766	655	199
767	656	198
768	657	197
769	658	196
770	659	195
771	659	194
772	660	194
773	661	193
774	662	192
775	663	191
776	663	190
777	664	189
778	666	188
779	666	188
780	667	187
781	668	186
782	668	185
783	669	184
784	670	183
785	671	182
786	672	181
787	672	181
788	673	180
789	674	179
790	675	178
791	676	177
792	677	176
793	678	175
794	679	175
795	680	174
796	680	173
797	681	172
798	682	171
799	683	170
800	684	170
801	685	169
802	686	168
803	687	167
804	687	166
805	689	165
806	690	165
807	691	164
808	692	163
809	693	162
810	693	161
811	694	160
812	695	159
813	696	159
814	697	158
815	698	157
816	698	156
817	699	155
818	700	154
819	701	154
820	702	153
821	703	152
822	704	151
823	705	150
824	706	149
825	706	148
826	707	148
827	708	147
828	709	146
829	710	145
830	711	144
831	712	143
832	713	142
833	713	142
834	714	141
835	715	140
836	716	139
837	717	138
838	718	137
839	718	136
840	719	136
841	720	135
842	721	134
843	722	133
844	723	132
845	724	131
846	724	130
847	725	130
848	726	129
849	727	128
850	728	127
851	729	126
852	729	125
853	731	124
854	731	124
855	732	123
856	733	122
857	734	121
858	735	120
859	736	119
860	736	118
861	737	118
862	738	117
863	739	116
864	740	115
865	741	114
866	741	113
867	742	112
868	743	112
869	744	111
870	745	110
871	746	109
872	747	108
873	748	107
874	749	107
875	750	106
876	751	105
877	752	104
878	752	103
879	753	102
880	754	101
881	755	101
882	756	100
883	757	99
884	758	98
885	759	97
886	759	96
887	760	95
888	761	95
889	762	94
890	763	93
891	764	92
892	764	91
893	765	90
894	766	89
895	767	89
896	767	88
897	768	87
898	769	86
899	770	85
900	771	84
901	772	83
902	773	83
903	773	82
904	774	81
905	775	80
906	776	79
907	777	78
908	778	77
909	778	77
910	779	76
911	780	75
912	781	74
913	782	73
914	783	72
915	784	71
916	785	71
917	786	70
918	787	69
919	788	68
920	789	67
921	789	66
922	790	65
923	791	65
924	792	64
925	793	63
926	794	62
927	794	61
928	795	60
929	796	59
930	797	59
931	798	58
932	799	57
933	800	56
934	801	55
935	802	54
936	802	53
937	803	53
938	804	52
939	805	51
940	806	50
941	807	49
942	807	48
943	808	47
944	809	47
945	810	46
946	811	45
947	812	44
948	813	43
949	814	42
950	815	41
951	815	41
952	816	40
953	817	39
954	818	38
955	820	37
956	820	36
957	821	36
958	822	35
959	823	34
960	824	33
961	825	32
962	825	31
963	826	30
964	827	30
965	828	29
966	829	28
967	830	27
968	831	26
969	832	25
970	833	24
971	834	24
972	834	23
973	835	22
974	836	21
975	837	20
976	838	19
977	839	18
978	840	18
979	841	17
980	842	16
981	842	15
982	843	14
983	844	13
984	845	12
985	846	12
986	847	11
987	848	10
988	849	9
989	850	8
990	850	7
991	851	6
992	852	6
993	853	5
994	854	4
995	855	3
996	855	2
997	856	1
998	857	0
999	858	0
