iter	RMSE
0	0.9489411606
1	0.9031204737
2	0.8621792376
3	0.825425623
4	0.7859856812
5	0.7538778531
6	0.7225255005
7	0.6895936871
8	0.6650131298
9	0.6416898139
10	0.6177613637
11	0.5919820895
12	0.5713921763
13	0.5515337389
14	0.5346105441
15	0.5174438263
16	0.5043724172
17	0.4888152651
18	0.4738010698
19	0.4616042443
20	0.4503583774
21	0.4363581669
22	0.4262651514
23	0.418547399
24	0.4076540855
25	0.3970783236
26	0.3880796049
27	0.3794505558
28	0.3716323259
29	0.3665588864
30	0.3583854436
31	0.350721914
32	0.3465031125
33	0.3391357062
34	0.3318112598
35	0.3275879921
36	0.3238438713
37	0.3195077883
38	0.3152893432
39	0.309636824
40	0.305378034
41	0.3023236494
42	0.2989352837
43	0.296473221
44	0.2934552089
45	0.2912986964
46	0.287634314
47	0.2858851852
48	0.283611481
49	0.2813451831
50	0.2781298866
51	0.2762427402
52	0.2734039019
53	0.2717884627
54	0.269011412
55	0.2668719594
56	0.2643418172
57	0.2626020098
58	0.2614290049
59	0.2592268585
60	0.2578101191
61	0.2556652551
62	0.2537275069
63	0.2528045544
64	0.2519427769
65	0.2501754822
66	0.24790225
67	0.2470596443
68	0.2452528788
69	0.2430403953
70	0.2420770909
71	0.2411018411
72	0.2401794714
73	0.2375056344
74	0.2359271864
75	0.2349548627
76	0.2340244058
77	0.2332973026
78	0.2317405997
79	0.2304337953
80	0.2289068908
81	0.2279458358
82	0.227055794
83	0.2255582202
84	0.2251776874
85	0.2240485564
86	0.223292903
87	0.2214155148
88	0.2208578206
89	0.2191529538
90	0.2186709995
91	0.2177153122
92	0.2171389128
93	0.2166984706
94	0.2163167186
95	0.2155878523
96	0.2152721854
97	0.214676602
98	0.2140076426
99	0.213489742
100	0.2127938188
101	0.2122612942
102	0.2118377044
103	0.2108730349
104	0.2101313034
105	0.2096774727
106	0.2085235132
107	0.2077384752
108	0.2072722962
109	0.2065719825
110	0.2060573093
111	0.2055994207
112	0.2048622014
113	0.2045608991
114	0.2040308316
115	0.203172727
116	0.2027428345
117	0.202487723
118	0.2020585331
119	0.2016252739
120	0.2012179261
121	0.2009519618
122	0.2002843103
123	0.1999584649
124	0.1995852923
125	0.1993040816
126	0.1990614162
127	0.1988079981
128	0.1985568124
129	0.1980008419
130	0.197719639
131	0.1975515958
132	0.1972818091
133	0.1971257267
134	0.1968226894
135	0.1966630931
136	0.1963396899
137	0.1960206026
138	0.1956888848
139	0.1950874977
140	0.1948920774
141	0.1945067073
142	0.1941203091
143	0.1938611113
144	0.1934950228
145	0.1932372798
146	0.1930298281
147	0.1928156054
148	0.1925340172
149	0.1923573953
150	0.1921353522
151	0.1919781491
152	0.1916338652
153	0.1911557346
154	0.1909158885
155	0.1905273245
156	0.1901504718
157	0.1898600031
158	0.1895773541
159	0.1893888294
160	0.1890886748
161	0.1887581886
162	0.188388336
163	0.1881339202
164	0.1879195668
165	0.1876207959
166	0.1874505704
167	0.1871906895
168	0.1869506684
169	0.1867598752
170	0.1865819255
171	0.1862729205
172	0.1860718246
173	0.185798325
174	0.1855174311
175	0.1854340434
176	0.1852893645
177	0.1851826366
178	0.1849500833
179	0.1847517527
180	0.1845455035
181	0.1843431748
182	0.1841343812
183	0.1839425996
184	0.1837609374
185	0.1835568933
186	0.1832759989
187	0.1831277956
188	0.1828213272
189	0.1826556163
190	0.1824217191
191	0.1822508712
192	0.1819996032
193	0.1818062589
194	0.1816564577
195	0.1814793049
196	0.1812628104
197	0.1811354901
198	0.1809888209
199	0.1808443902
200	0.1806034238
201	0.1804340409
202	0.1801820706
203	0.1800364247
204	0.1798489664
205	0.1796959587
206	0.1795034173
207	0.1793506378
208	0.1790856677
209	0.1789418219
210	0.1787887759
211	0.1786285745
212	0.1785053462
213	0.1784173265
214	0.1781873421
215	0.1780498087
216	0.1779273373
217	0.1777690591
218	0.177574094
219	0.1774130775
220	0.1772790043
221	0.1771395681
222	0.1769392624
223	0.1767580167
224	0.176589099
225	0.1764878938
226	0.1762887824
227	0.1761938848
228	0.1761025595
229	0.175903485
230	0.1757695141
231	0.1755640003
232	0.1754448166
233	0.1752410675
234	0.1750697863
235	0.1749869493
236	0.1748397822
237	0.1747314965
238	0.174596909
239	0.174409843
240	0.1741870262
241	0.1740985381
242	0.1739802864
243	0.1738414172
244	0.1737381356
245	0.1735754336
246	0.1734804326
247	0.1734012103
248	0.1733307436
249	0.1732147548
250	0.1731303653
251	0.1730380976
252	0.1728721572
253	0.1727826484
254	0.172622904
255	0.1725070923
256	0.1723879791
257	0.1722719819
258	0.1721572575
259	0.1719650466
260	0.1718428085
261	0.1717019239
262	0.1715621773
263	0.1714135413
264	0.1712836426
265	0.1710985194
266	0.1710177791
267	0.1709120024
268	0.1707888653
269	0.1706938108
270	0.1705291535
271	0.1704456422
272	0.1703138583
273	0.1701881457
274	0.1700456658
275	0.1699781069
276	0.1698926629
277	0.1698073117
278	0.1697236548
279	0.1696514997
280	0.1695809588
281	0.1694924657
282	0.1693048795
283	0.1692345091
284	0.1691248274
285	0.1690353605
286	0.1689758355
287	0.1688727265
288	0.1687843518
289	0.1686967343
290	0.1685957261
291	0.168485085
292	0.1683944123
293	0.1682695785
294	0.1681729621
295	0.1680327047
296	0.1679433794
297	0.1678607618
298	0.1677831333
299	0.1676479147
300	0.1675417265
301	0.1674622953
302	0.1673441455
303	0.1671891443
304	0.1671311855
305	0.1669822914
306	0.1669040356
307	0.1668168529
308	0.1667198039
309	0.16659638
310	0.1664837772
311	0.1663915988
312	0.1663382155
313	0.1662544718
314	0.1661564367
315	0.1660595811
316	0.1659991529
317	0.1659157637
318	0.1658604989
319	0.1658010358
320	0.1657136896
321	0.1656121799
322	0.165532247
323	0.1654452524
324	0.1652812707
325	0.1652091176
326	0.1651580803
327	0.1649897475
328	0.1648983468
329	0.1647460276
330	0.164685402
331	0.1646039758
332	0.1644671811
333	0.1643911896
334	0.1643068549
335	0.1642425323
336	0.1641856512
337	0.1640934228
338	0.1640067956
339	0.1639308997
340	0.1638600635
341	0.1637803425
342	0.1637427681
343	0.1636658064
344	0.1635744129
345	0.1634890844
346	0.1633929171
347	0.1633183373
348	0.1631442057
349	0.1630813125
350	0.1630021858
351	0.1629436998
352	0.162875929
353	0.1627946724
354	0.1626996983
355	0.1626495589
356	0.1625851026
357	0.1625153199
358	0.1624301295
359	0.1623875441
360	0.162337573
361	0.1622595344
362	0.1622112786
363	0.1621269726
364	0.162030765
365	0.1619717196
366	0.1619033553
367	0.1618261383
368	0.1617934498
369	0.1617276965
370	0.1616877672
371	0.1616248733
372	0.1615480468
373	0.1614843567
374	0.1614203836
375	0.1613311938
376	0.1612743782
377	0.1612197263
378	0.1611561163
379	0.161095507
380	0.1610446905
381	0.1609955025
382	0.1609232809
383	0.1608772818
384	0.1608010122
385	0.1607022079
386	0.1606331562
387	0.160568772
388	0.1604995799
389	0.1604149927
390	0.160368579
391	0.1602815618
392	0.1601380846
393	0.1600817639
394	0.1600402715
395	0.1599488963
396	0.159881422
397	0.1598098271
398	0.1597485703
399	0.1597083591
400	0.1596548051
401	0.1596060346
402	0.1595472039
403	0.1594822636
404	0.1594187623
405	0.1593513302
406	0.1592653677
407	0.1591375806
408	0.1590384045
409	0.1589628141
410	0.1588916511
411	0.1588449418
412	0.1588055658
413	0.1587804463
414	0.1586659176
415	0.1586130482
416	0.1585608075
417	0.1585091282
418	0.1584147166
419	0.1582875809
420	0.1582135711
421	0.1580988147
422	0.1580619603
423	0.158014191
424	0.1579814879
425	0.1578842774
426	0.1578573244
427	0.1577722152
428	0.1576715417
429	0.157594451
430	0.1575516704
431	0.1575110349
432	0.157472297
433	0.1574426182
434	0.1573597693
435	0.1573092904
436	0.1572092765
