iter	Passed	Remaining
0	3	3256
1	6	3143
2	8	2831
3	11	2756
4	14	2929
5	17	2897
6	19	2837
7	22	2834
8	25	2804
9	28	2828
10	31	2817
11	34	2815
12	37	2845
13	41	2897
14	44	2914
15	47	2909
16	50	2942
17	53	2918
18	57	2945
19	60	2962
20	63	2968
21	66	2958
22	69	2932
23	71	2923
24	75	2925
25	78	2939
26	81	2939
27	84	2942
28	87	2931
29	90	2925
30	94	2948
31	97	2962
32	101	2971
33	104	2964
34	107	2971
35	112	3002
36	115	2997
37	117	2984
38	120	2976
39	124	2980
40	127	2973
41	129	2961
42	132	2955
43	135	2952
44	138	2949
45	141	2943
46	144	2939
47	147	2929
48	150	2923
49	153	2916
50	156	2910
51	159	2905
52	162	2903
53	165	2896
54	168	2887
55	170	2880
56	173	2874
57	176	2866
58	179	2862
59	181	2849
60	184	2846
61	187	2833
62	189	2824
63	192	2812
64	194	2804
65	197	2795
66	200	2789
67	203	2786
68	206	2779
69	208	2770
70	211	2761
71	213	2752
72	215	2740
73	218	2733
74	221	2727
75	223	2721
76	226	2712
77	228	2706
78	231	2698
79	233	2689
80	236	2681
81	238	2675
82	241	2669
83	244	2664
84	247	2660
85	249	2652
86	252	2649
87	254	2641
88	257	2632
89	259	2626
90	262	2622
91	264	2615
92	267	2608
93	270	2603
94	272	2596
95	275	2591
96	277	2585
97	280	2581
98	283	2580
99	285	2572
100	288	2566
101	291	2567
102	294	2561
103	296	2554
104	298	2546
105	301	2540
106	304	2539
107	307	2535
108	309	2529
109	312	2525
110	314	2521
111	317	2516
112	319	2511
113	322	2504
114	324	2498
115	327	2492
116	329	2489
117	332	2482
118	334	2477
119	337	2472
120	339	2465
121	341	2460
122	344	2456
123	347	2452
124	349	2448
125	352	2443
126	355	2442
127	357	2438
128	360	2433
129	363	2430
130	365	2424
131	368	2419
132	370	2416
133	373	2411
134	375	2407
135	378	2402
136	380	2397
137	382	2392
138	385	2386
139	388	2384
140	391	2382
141	393	2377
142	395	2372
143	398	2367
144	400	2362
145	404	2364
146	406	2361
147	409	2360
148	413	2359
149	415	2355
150	418	2354
151	421	2351
152	424	2349
153	426	2344
154	429	2342
155	431	2336
156	434	2331
157	436	2327
158	439	2326
159	442	2323
160	445	2320
161	447	2315
162	450	2313
163	452	2307
164	455	2302
165	457	2299
166	459	2294
167	462	2290
168	465	2288
169	468	2285
170	470	2279
171	472	2276
172	476	2276
173	478	2273
174	481	2272
175	484	2268
176	487	2265
177	489	2262
178	492	2259
179	495	2256
180	497	2252
181	500	2248
182	502	2244
183	506	2244
184	508	2241
185	511	2239
186	514	2236
187	516	2232
188	519	2228
189	522	2226
190	524	2222
191	527	2219
192	529	2215
193	533	2215
194	535	2212
195	537	2206
196	540	2202
197	542	2198
198	545	2195
199	548	2192
200	550	2188
201	553	2185
202	556	2183
203	559	2181
204	561	2177
205	564	2175
206	566	2171
207	568	2166
208	571	2163
209	574	2159
210	576	2155
211	579	2153
212	582	2151
213	584	2146
214	587	2145
215	589	2140
216	592	2137
217	595	2136
218	598	2132
219	601	2132
220	604	2129
221	606	2127
222	609	2124
223	611	2119
224	614	2115
225	616	2112
226	619	2107
227	621	2104
228	624	2103
229	627	2102
230	630	2099
231	632	2095
232	635	2091
233	638	2090
234	641	2089
235	644	2086
236	647	2083
237	649	2080
238	652	2076
239	655	2074
240	657	2070
241	660	2067
242	662	2064
243	665	2061
244	667	2057
245	669	2053
246	672	2049
247	675	2047
248	678	2046
249	681	2043
250	683	2039
251	686	2036
252	688	2034
253	692	2032
254	694	2030
255	697	2027
256	700	2025
257	702	2021
258	705	2017
259	708	2015
260	710	2011
261	713	2009
262	716	2007
263	718	2003
264	721	2000
265	723	1997
266	726	1993
267	728	1990
268	731	1987
269	733	1983
270	736	1980
271	738	1975
272	740	1973
273	743	1970
274	746	1968
275	749	1965
276	751	1962
277	754	1958
278	757	1956
279	759	1953
280	762	1950
281	764	1947
282	767	1944
283	770	1943
284	773	1940
285	776	1938
286	779	1935
287	782	1933
288	784	1929
289	786	1926
290	789	1924
291	792	1921
292	795	1918
293	798	1916
294	800	1914
295	803	1910
296	805	1907
297	808	1904
298	811	1902
299	814	1900
300	817	1898
301	820	1896
302	823	1894
303	826	1891
304	828	1888
305	831	1885
306	833	1882
307	836	1879
308	840	1878
309	842	1874
310	845	1872
311	847	1869
312	850	1866
313	852	1863
314	855	1860
315	858	1857
316	860	1854
317	863	1850
